Awards,Other_awards,Host,Nickname,Year,Title,Team,Students,Slides,Write_ups,Video,Codes
NA,NA,Australian National University,NA,2021,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2021__NA.pdf,NA,NA,
NA,NA,Australian National University,NA,2022,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2022__NA.pdf,NA,NA,
NA,NA,Brown University,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,
NA,NA,Brown University,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,
NA,NA,Brown University,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,
NA,NA,Brown University,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,
NA,NA,Brown University,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,
NA,NA,Brown University,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,
NA,NA,Brown University,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,
NA,NA,Case Western Reserve University,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,
NA,NA,Case Western Reserve University,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,
NA,NA,Case Western Reserve University,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,
NA,NA,Case Western Reserve University,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,
NA,NA,Case Western Reserve University,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,
NA,NA,Case Western Reserve University,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,
NA,NA,Case Western Reserve University,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,
NA,NA,Chapman University,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,
NA,NA,Chapman University,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,
NA,NA,Chapman University,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,
NA,NA,Chapman University,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,
NA,NA,Chapman University,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,
NA,NA,Chapman University,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,
NA,NA,Chapman University,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,
NA,NA,Cleveland State University,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,
NA,NA,Cleveland State University,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,
NA,NA,Cleveland State University,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,
NA,NA,Cleveland State University,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,
NA,NA,Cleveland State University,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,
NA,NA,Cleveland State University,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,
NA,NA,Cleveland State University,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,
NA,NA,Columbia University,Columbia,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011_Columbia_NA.pdf,NA,NA,
NA,NA,Columbia University,Columbia,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012_Columbia_NA.pdf,NA,NA,
NA,NA,Columbia University,Columbia,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013_Columbia_NA.pdf,NA,NA,
NA,NA,Columbia University,Columbia,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014_Columbia_NA.pdf,NA,NA,
NA,NA,Columbia University,Columbia,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015_Columbia_NA.pdf,NA,NA,
NA,NA,Columbia University,Columbia,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016_Columbia_NA.pdf,NA,NA,
NA,NA,Columbia University,Columbia,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017_Columbia_NA.pdf,NA,NA,
NA,NA,Columbia University,Columbia,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017_Columbia_NA.pdf,NA,NA,
NA,NA,Columbia University,Columbia,2018,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2018_Columbia_NA.pdf,NA,NA,
NA,NA,Columbia University,Columbia,2019,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2019_Columbia_NA.pdf,NA,NA,
NA,NA,Columbia University,Columbia,2020,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2020_Columbia_NA.pdf,NA,NA,
NA,NA,Columbia University,Columbia,2021,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2021_Columbia_NA.pdf,NA,NA,
Best Visualization,NA,Columbia University,Columbia,2022,IS GAMEPLAY BEHAVIOR ASSOCIATED WITH EFFICACY IN RESISTING DRUGS?,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2022_Columbia_BestVisualization.pdf,NA,NA,
NA,NA,Davidson College,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,
NA,NA,Davidson College,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,
NA,NA,Davidson College,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,
NA,NA,Davidson College,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,
NA,NA,Davidson College,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,
NA,NA,Davidson College,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,
NA,NA,Davidson College,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,
NA,NA,Duke University,Duke,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011_Duke_NA.pdf,NA,NA,
NA,NA,Duke University,Duke,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012_Duke_NA.pdf,NA,NA,
NA,NA,Duke University,Duke,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013_Duke_NA.pdf,NA,NA,
NA,NA,Duke University,Duke,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014_Duke_NA.pdf,NA,NA,
NA,NA,Duke University,Duke,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015_Duke_NA.pdf,NA,NA,
NA,NA,Duke University,Duke,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016_Duke_NA.pdf,NA,NA,
NA,NA,Duke University,Duke,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017_Duke_NA.pdf,NA,NA,
NA,NA,Duke University,Duke,2018,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2018_Duke_NA.pdf,NA,NA,
NA,NA,Duke University,Duke,2019,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2019_Duke_NA.pdf,NA,NA,
Best Visualization,NA,Duke University,Duke,2020,An Analysis of US Social Distancing Amidst the Covid-19 Pandemic through Google Mobility Reports,Americas Next Top Modellers,"Shannon Houser, Jack Lichtenstein",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2020_Duke_BestVisualization.pdf,NA,NA,
Best Insight,NA,Duke University,Duke,2020,Explore How Research Priorities Shift as COVID-19 Progresses,N&N,"Jingxuan Liu, Jessie Ou, Linda Tang, Yunyao Zhu, Justina Zou",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2020_Duke_BestInsight.pdf,NA,NA,
Other Awards,Judge's Choice,Duke University,Duke,2020,Regression Analysis of COVID-19s Effect on Different Communities,"MB, MF, (PM)-1: Meredith Brown","Meredith Brown, Matt Feder, Pouya Mohammadi",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/https://mattfeder.shinyapps.io/CoronaApp/.pdf,NA,NA,
Other Awards,Most Creative Topic,Duke University,Duke,2020,Dreams in the Time of COVID-19,NA,Apoorv Jha,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2020_Duke_Other_2.pdf,NA,NA,
Other Awards,Best Interactive Dashboard,Duke University,Duke,2020,Covis19,NA,Jie Cai,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2020_Duke_Other_3.pdf,NA,NA,
Best Visualization,NA,Duke University,Duke,2021,"Smart, Dont Start: A Look at the Problems Associated with Drug Misuse and Relevant Factors",NA,"Brian Wang, Yidan Wang, Eddie Zhang, Keren Zhang, Chloe Zhu",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/https://prezi.com/view/fjiYjAmRRBRcW7WtIn8W/.pdf,NA,NA,
Best Insight,NA,Duke University,Duke,2021,Survey of Non-Medical Use of Prescription Drugs Program: United States 19Q1 Launch,NA,"Siddharth Bowgal, Arjun Putcha",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2021_Duke_BestInsight.pdf,NA,NA,
Other Awards,Judge's Choice,Duke University,Duke,2021,Drug Misuse Analysis,Extra 5,"Bodong Xu, Jay Lin, Jiajun Wang, Ningyi Xue, Shan Xiang",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2021_Duke_Other_1.pdf,NA,NA,
Other Awards,Judge's Choice,Duke University,Duke,2021,Drug Prediction Model Interpretability,NA,"Edwin Agnew, Bhrij Patel, Albert Sun, Jayesh Gupta",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2021_Duke_Other_2.pdf,NA,NA,
Best Insight,NA,Duke University,Duke,2022,Reordering Minigames with Personalized Recommendation System,Chill Chill,"Jianbo Bin, Yuge Jin, Chengkai Peng, Jingnan Wang, Yijie Wang",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2022_Duke_BestInsight.pdf,NA,NA,
Other Awards,Best Statistical Analysis,Duke University,Duke,2022,Investigation into Elm City Stories' MiniGame Design,Tie,"Bridge Hu, Andy Liu, Jacqueline Ma, Andy Wulu, Cara Yang",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2022_Duke_Other_1.pdf,NA,NA,
Best Visualization,NA,Duke University,Duke,2022,NA,FishSwish,"Athena Yao, Emily Du, Jenna Boguslavsky, Helene Gu, Rebecca Combs",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2022_Duke_BestVisualization.pdf,NA,NA,
Other Awards,Judge's Choice,Duke University,Duke,2022,Evaluating Character Differences in the Top and Bottom Performing Students with a Custom Score,NA,"Joseph Ilagan, Aryan Mathur, Lina Nayvelt",https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2022_Duke_Other_2.pdf,NA,NA,
Other Awards,Honorable Mention,Duke University,Duke,2022,Exploring effectiveness of the game,Nihongokurasu,Xiaoyin Kang and Ziying Ye,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2022_Duke_Other_3.pdf,NA,NA,
NA,NA,Emory University,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,
NA,NA,Emory University,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,
NA,NA,Emory University,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,
NA,NA,Emory University,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,
NA,NA,Emory University,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,
NA,NA,Emory University,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,
NA,NA,Emory University,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,
NA,NA,Grand Valley State University,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,
NA,NA,Grand Valley State University,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,
NA,NA,Grand Valley State University,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,
NA,NA,Grand Valley State University,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,
NA,NA,Grand Valley State University,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,
NA,NA,Grand Valley State University,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,
NA,NA,Grand Valley State University,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,
NA,NA,Loyola University Chicago,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,
NA,NA,Loyola University Chicago,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,
NA,NA,Loyola University Chicago,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,
NA,NA,Loyola University Chicago,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,
NA,NA,Loyola University Chicago,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,
NA,NA,Loyola University Chicago,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,
NA,NA,Loyola University Chicago,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,
NA,NA,Macalaster College,NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,
NA,NA,Macalaster College,NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,
NA,NA,Macalaster College,NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,
NA,NA,Macalaster College,NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,
NA,NA,Macalaster College,NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,
NA,NA,Macalaster College,NA,2016,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2016__NA.pdf,NA,NA,
NA,NA,Macalaster College,NA,2017,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2017__NA.pdf,NA,NA,
NA,NA,Miami University (Ohio),NA,2011,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2011__NA.pdf,NA,NA,
NA,NA,Miami University (Ohio),NA,2012,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2012__NA.pdf,NA,NA,
NA,NA,Miami University (Ohio),NA,2013,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2013__NA.pdf,NA,NA,
NA,NA,Miami University (Ohio),NA,2014,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2014__NA.pdf,NA,NA,
NA,NA,Miami University (Ohio),NA,2015,NA,NA,NA,https://github.com/mine-cetinkaya-rundel/asa-datafest-dashboard/raw/main/data/past_winners/2015__NA.pdf,NA,NA,
